transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,Revenue,Month,Weekday,Hour,store_location_enc,product_category_enc,Month_enc,Weekday_enc,Total_Sale,Peak_Time,Cluster,Sales_Class
137260,2023-06-20,09:54:13,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,Jun,Tue,9,2,0,3,5,3.75,1,0,0
47635,2023-03-20,17:52:00,2,8,Hell's Kitchen,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,8.0,Mar,Mon,17,1,8,4,1,8.0,0,1,1
57300,2023-04-03,17:28:50,2,8,Hell's Kitchen,37,3.0,Coffee,Barista Espresso,Espresso shot,6.0,Apr,Mon,17,1,2,0,1,6.0,0,1,1
70124,2023-04-18,14:45:22,2,3,Astoria,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,Apr,Tue,14,0,2,0,5,4.4,0,1,0
142616,2023-06-24,19:36:17,1,3,Astoria,48,2.5,Tea,Brewed Black tea,English Breakfast Rg,2.5,Jun,Sat,19,0,8,3,2,2.5,0,1,0
130413,2023-06-14,19:34:19,1,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,4.25,Jun,Wed,19,1,2,3,6,4.25,0,1,0
95501,2023-05-15,06:14:41,2,5,Lower Manhattan,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg,5.0,May,Mon,6,2,8,5,1,5.0,0,0,1
34609,2023-03-02,12:44:16,2,3,Astoria,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,Mar,Thu,12,0,2,4,4,7.5,0,0,1
40679,2023-03-11,07:53:40,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,5.0,Mar,Sat,7,1,8,4,2,5.0,1,0,1
79869,2023-04-30,09:05:28,1,3,Astoria,39,4.25,Coffee,Barista Espresso,Latte Rg,4.25,Apr,Sun,9,0,2,0,3,4.25,1,0,0
94967,2023-05-14,10:17:26,2,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,7.5,May,Sun,10,1,2,5,3,7.5,1,0,1
130916,2023-06-15,09:31:15,2,3,Astoria,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5,Jun,Thu,9,0,2,3,4,8.5,1,0,1
133694,2023-06-17,10:47:53,2,8,Hell's Kitchen,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0,Jun,Sat,10,1,8,3,2,6.0,1,0,1
141459,2023-06-24,06:39:04,2,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,5.0,Jun,Sat,6,1,8,3,2,5.0,0,0,1
139220,2023-06-22,07:17:55,1,3,Astoria,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5,Jun,Thu,7,0,0,3,4,4.5,1,0,0
29594,2023-02-21,17:58:39,1,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,3.75,Feb,Tue,17,1,2,1,5,3.75,0,1,0
49353,2023-03-23,11:12:07,1,5,Lower Manhattan,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2.0,Mar,Thu,11,2,2,4,4,2.0,1,0,0
83916,2023-05-04,12:37:20,1,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg,2.5,May,Thu,12,2,8,5,4,2.5,0,0,0
30543,2023-02-23,12:02:44,1,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,2.5,Feb,Thu,12,0,8,1,4,2.5,0,0,0
57421,2023-04-03,19:19:16,1,3,Astoria,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2.5,Apr,Mon,19,0,2,0,1,2.5,0,1,0
143820,2023-06-26,06:27:14,1,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,3.5,Jun,Mon,6,2,4,3,1,3.5,0,0,0
71374,2023-04-20,08:28:20,1,3,Astoria,2,18.0,Coffee beans,House blend Beans,Our Old Time Diner Blend,18.0,Apr,Thu,8,0,3,0,4,18.0,1,2,1
44098,2023-03-16,07:05:58,1,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2.5,Mar,Thu,7,2,2,4,4,2.5,1,0,0
140026,2023-06-22,16:07:03,1,3,Astoria,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg,2.5,Jun,Thu,16,0,8,3,4,2.5,0,1,0
98437,2023-05-17,10:33:06,2,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7.0,May,Wed,10,0,2,5,6,7.0,1,0,1
4822,2023-01-09,13:12:25,1,5,Lower Manhattan,74,4.38,Bakery,Biscotti,Ginger Biscotti,4.38,Jan,Mon,13,2,0,2,1,4.38,0,1,0
47856,2023-03-21,09:01:36,2,3,Astoria,30,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,6.0,Mar,Tue,9,0,2,4,5,6.0,1,0,1
39300,2023-03-09,09:14:06,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7.0,Mar,Thu,9,1,2,4,4,7.0,1,0,1
56407,2023-04-02,16:37:26,2,5,Lower Manhattan,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,5.0,Apr,Sun,16,2,8,0,3,5.0,0,1,1
14715,2023-01-26,14:16:26,1,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,Jan,Thu,14,2,2,2,4,2.5,0,1,0
34808,2023-03-02,15:40:55,2,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,5.0,Mar,Thu,15,1,2,4,4,5.0,0,1,1
112695,2023-05-30,12:35:54,2,3,Astoria,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,4.0,May,Tue,12,0,2,5,5,4.0,0,0,0
7385,2023-01-14,08:33:50,2,8,Hell's Kitchen,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,4.9,Jan,Sat,8,1,2,2,2,4.9,1,0,1
25302,2023-02-14,17:09:09,2,3,Astoria,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,Feb,Tue,17,0,2,1,5,7.5,0,1,1
63172,2023-04-10,15:36:09,1,8,Hell's Kitchen,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,3.5,Apr,Mon,15,1,4,0,1,3.5,0,1,0
95537,2023-05-15,06:55:11,1,5,Lower Manhattan,65,0.8,Flavours,Sugar free syrup,Sugar Free Vanilla syrup,0.8,May,Mon,6,2,5,5,1,0.8,0,0,0
107060,2023-05-25,08:47:38,3,5,Lower Manhattan,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,9.0,May,Thu,8,2,8,5,4,9.0,1,0,1
56401,2023-04-02,16:35:22,1,3,Astoria,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm,2.2,Apr,Sun,16,0,2,0,3,2.2,0,1,0
57612,2023-04-04,11:06:08,2,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,Apr,Tue,11,0,4,0,5,7.5,1,0,1
105966,2023-05-24,09:02:44,1,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,2.5,May,Wed,9,1,8,5,6,2.5,1,0,0
128492,2023-06-13,09:45:41,1,3,Astoria,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2.0,Jun,Tue,9,0,2,3,5,2.0,1,0,0
136779,2023-06-20,07:30:08,2,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5,Jun,Tue,7,2,2,3,5,8.5,1,0,1
130012,2023-06-14,10:53:53,2,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,6.0,Jun,Wed,10,1,8,3,6,6.0,1,0,1
55345,2023-04-01,13:04:22,1,3,Astoria,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,Apr,Sat,13,0,0,0,2,3.75,0,1,0
3825,2023-01-07,19:38:50,1,8,Hell's Kitchen,77,3.0,Bakery,Scone,Oatmeal Scone,3.0,Jan,Sat,19,1,0,2,2,3.0,0,1,0
136997,2023-06-20,08:38:44,1,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,Jun,Tue,8,1,4,3,5,4.5,1,0,0
78579,2023-04-28,14:05:01,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,Apr,Fri,14,1,2,0,0,2.5,0,1,0
77092,2023-04-26,17:08:31,2,5,Lower Manhattan,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0,Apr,Wed,17,2,8,0,6,6.0,0,1,1
13052,2023-01-23,17:29:29,2,3,Astoria,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,5.0,Jan,Mon,17,0,2,2,1,5.0,0,1,1
11592,2023-01-21,08:42:56,2,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,9.0,Jan,Sat,8,2,4,2,2,9.0,1,0,1
22381,2023-02-09,20:08:30,1,5,Lower Manhattan,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,2.5,Feb,Thu,20,2,8,1,4,2.5,0,1,0
111643,2023-05-29,14:42:16,1,3,Astoria,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,4.75,May,Mon,14,0,4,5,1,4.75,0,1,1
143931,2023-06-26,07:23:55,1,8,Hell's Kitchen,28,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,2.0,Jun,Mon,7,1,2,3,1,2.0,1,0,0
63507,2023-04-11,08:25:39,2,8,Hell's Kitchen,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,6.0,Apr,Tue,8,1,2,0,5,6.0,1,0,1
54295,2023-03-30,16:32:05,2,5,Lower Manhattan,64,0.8,Flavours,Regular syrup,Hazelnut syrup,1.6,Mar,Thu,16,2,5,4,4,1.6,0,1,0
29177,2023-02-21,08:42:46,1,8,Hell's Kitchen,87,3.0,Coffee,Barista Espresso,Ouro Brasileiro shot,3.0,Feb,Tue,8,1,2,1,5,3.0,1,0,0
20028,2023-02-05,16:41:34,1,5,Lower Manhattan,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,3.0,Feb,Sun,16,2,8,1,3,3.0,0,1,0
102578,2023-05-21,08:24:42,1,3,Astoria,81,28.0,Branded,Clothing,I Need My Bean! T-shirt,28.0,May,Sun,8,0,1,5,3,28.0,1,2,1
68303,2023-04-16,11:52:22,1,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg,2.5,Apr,Sun,11,1,8,0,3,2.5,1,0,0
141975,2023-06-24,10:58:04,1,5,Lower Manhattan,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,Jun,Sat,10,2,2,3,2,3.1,1,0,0
129852,2023-06-14,10:13:16,1,8,Hell's Kitchen,37,3.0,Coffee,Barista Espresso,Espresso shot,3.0,Jun,Wed,10,1,2,3,6,3.0,1,0,0
61682,2023-04-09,08:02:51,2,3,Astoria,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2,Apr,Sun,8,0,2,0,3,6.2,1,0,1
30010,2023-02-22,13:40:11,3,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,9.0,Feb,Wed,13,2,8,1,6,9.0,0,1,1
31437,2023-02-25,07:18:36,1,5,Lower Manhattan,87,2.1,Coffee,Barista Espresso,Ouro Brasileiro shot,2.1,Feb,Sat,7,2,2,1,2,2.1,1,0,0
127060,2023-06-12,08:12:01,1,3,Astoria,3,14.75,Coffee beans,Espresso Beans,Espresso Roast,14.75,Jun,Mon,8,0,3,3,1,14.75,1,2,1
64996,2023-04-12,18:12:35,1,5,Lower Manhattan,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,2.45,Apr,Wed,18,2,2,0,6,2.45,0,1,0
30032,2023-02-22,14:21:12,1,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,3.5,Feb,Wed,14,0,2,1,6,3.5,0,1,0
31383,2023-02-25,06:13:04,2,5,Lower Manhattan,65,0.8,Flavours,Sugar free syrup,Sugar Free Vanilla syrup,1.6,Feb,Sat,6,2,5,1,2,1.6,0,0,0
124466,2023-06-10,06:54:25,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,Jun,Sat,6,1,8,3,2,2.5,0,0,0
86287,2023-05-06,15:54:21,2,8,Hell's Kitchen,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,4.9,May,Sat,15,1,2,5,2,4.9,0,1,1
79278,2023-04-29,13:49:44,1,8,Hell's Kitchen,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,2.5,Apr,Sat,13,1,8,0,2,2.5,0,1,0
49989,2023-03-24,10:12:14,2,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,5.0,Mar,Fri,10,2,2,4,0,5.0,1,0,1
71778,2023-04-20,11:36:17,2,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg,5.0,Apr,Thu,11,1,8,0,4,5.0,1,0,1
58916,2023-04-05,18:05:43,2,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg,5.0,Apr,Wed,18,2,8,0,6,5.0,0,1,1
63903,2023-04-11,12:35:27,1,5,Lower Manhattan,53,3.0,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3.0,Apr,Tue,12,2,8,0,5,3.0,0,0,0
104151,2023-05-22,12:26:22,2,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,6.0,May,Mon,12,2,8,5,1,6.0,0,0,1
101847,2023-05-20,10:11:45,1,3,Astoria,64,0.8,Flavours,Regular syrup,Hazelnut syrup,0.8,May,Sat,10,0,5,5,2,0.8,1,0,0
109381,2023-05-27,10:10:23,3,5,Lower Manhattan,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,7.5,May,Sat,10,2,8,5,2,7.5,1,0,1
94596,2023-05-14,08:37:03,1,8,Hell's Kitchen,9,22.5,Coffee beans,Organic Beans,Organic Decaf Blend,22.5,May,Sun,8,1,3,5,3,22.5,1,2,1
119300,2023-06-05,15:21:52,2,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte,7.5,Jun,Mon,15,0,2,3,1,7.5,0,1,1
37085,2023-03-06,07:56:38,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,Mar,Mon,7,2,0,4,1,3.75,1,0,0
145363,2023-06-27,09:32:43,1,8,Hell's Kitchen,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,2.5,Jun,Tue,9,1,8,3,5,2.5,1,0,0
20734,2023-02-07,08:02:27,2,8,Hell's Kitchen,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,6.0,Feb,Tue,8,1,8,1,5,6.0,1,0,1
22407,2023-02-10,06:38:46,1,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0,Feb,Fri,6,2,8,1,0,3.0,0,0,0
93612,2023-05-13,09:10:24,1,5,Lower Manhattan,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,3.0,May,Sat,9,2,2,5,2,3.0,1,0,0
20380,2023-02-06,14:08:17,2,5,Lower Manhattan,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7.0,Feb,Mon,14,2,2,1,1,7.0,0,1,1
64823,2023-04-12,14:36:22,1,5,Lower Manhattan,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,3.0,Apr,Wed,14,2,2,0,6,3.0,0,1,0
35482,2023-03-03,15:29:50,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,Mar,Fri,15,2,0,4,0,3.75,0,1,0
12925,2023-01-23,14:00:13,2,5,Lower Manhattan,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,6.0,Jan,Mon,14,2,8,2,1,6.0,0,1,1
67950,2023-04-16,08:55:43,1,3,Astoria,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,2.45,Apr,Sun,8,0,2,0,3,2.45,1,0,0
6202,2023-01-12,07:38:21,1,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,2.5,Jan,Thu,7,1,8,2,4,2.5,1,0,0
110429,2023-05-28,11:24:49,1,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte,3.75,May,Sun,11,0,2,5,3,3.75,1,0,0
81949,2023-05-02,14:06:47,1,5,Lower Manhattan,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5,May,Tue,14,2,0,5,5,4.5,0,1,0
115100,2023-06-01,19:00:45,1,3,Astoria,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,3.25,Jun,Thu,19,0,0,3,4,3.25,0,1,0
26761,2023-02-17,08:18:37,1,3,Astoria,77,3.0,Bakery,Scone,Oatmeal Scone,3.0,Feb,Fri,8,0,0,1,0,3.0,1,0,0
55215,2023-04-01,11:42:44,1,5,Lower Manhattan,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,Apr,Sat,11,2,8,0,2,2.5,1,0,0
68648,2023-04-17,06:42:57,1,8,Hell's Kitchen,87,2.1,Coffee,Barista Espresso,Ouro Brasileiro shot,2.1,Apr,Mon,6,1,2,0,1,2.1,0,0,0
120506,2023-06-06,16:55:28,2,5,Lower Manhattan,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0,Jun,Tue,16,2,8,3,5,6.0,0,1,1
111259,2023-05-29,09:22:41,2,8,Hell's Kitchen,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,6.0,May,Mon,9,1,2,5,1,6.0,1,0,1
134872,2023-06-18,10:50:14,1,8,Hell's Kitchen,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg,3.5,Jun,Sun,10,1,2,3,3,3.5,1,0,0
64785,2023-04-12,13:52:02,2,8,Hell's Kitchen,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,8.0,Apr,Wed,13,1,8,0,6,8.0,0,1,1
45456,2023-03-17,17:32:02,1,5,Lower Manhattan,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,Mar,Fri,17,2,8,4,0,2.5,0,1,0
141440,2023-06-24,06:26:54,1,5,Lower Manhattan,81,28.0,Branded,Clothing,I Need My Bean! T-shirt,28.0,Jun,Sat,6,2,1,3,2,28.0,0,2,1
122731,2023-06-08,13:40:23,1,5,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone,3.25,Jun,Thu,13,2,0,3,4,3.25,0,1,0
104874,2023-05-23,08:34:57,2,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5.0,May,Tue,8,1,8,5,5,5.0,1,0,1
42340,2023-03-13,10:59:04,2,8,Hell's Kitchen,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,6.0,Mar,Mon,10,1,8,4,1,6.0,1,0,1
127986,2023-06-13,07:07:04,1,5,Lower Manhattan,63,0.8,Flavours,Regular syrup,Carmel syrup,0.8,Jun,Tue,7,2,5,3,5,0.8,1,0,0
148787,2023-06-30,09:42:12,1,5,Lower Manhattan,77,3.0,Bakery,Scone,Oatmeal Scone,3.0,Jun,Fri,9,2,0,3,0,3.0,1,0,0
